Date,Wallet Address,Betweenness Centrality,Token Name,Community
2021-09,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,0.023641354018878177,Yearn Finance,0
2021-09,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.023641354018878177,Yearn Finance,0
2021-09,0x3ff33d9162ad47660083d7dc4bc02fb231c81677,0.023641354018878177,Yearn Finance,0
2021-09,0x555981b82743aa443cb1c3002c85ba9d795d4596,0.023641354018878177,Yearn Finance,0
2021-09,0x5f65f7b609678448494de4c87521cdf6cef1e932,0.023641354018878177,Yearn Finance,0
2021-09,0xba37b002abafdd8e89a1995da52740bbc013d992,0.023641354018878177,Yearn Finance,0
2021-09,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0.023641354018878177,Yearn Finance,0
2021-10,0xf977814e90da44bfa03b6295a0616a897441acec,0.46574285472687293,Curve,5
2021-10,0xe93381fb4c4f14bda253907b18fad305d799241a,0.38803272450532733,Curve,3
2021-10,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.1558324877388803,Curve,5
2021-10,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.026160578386605793,Sushi,0
2021-10,0x4ce799e6ed8d64536b67dd428565d52a531b3640,0.011360997728979926,Curve,5
2021-10,0xf89501b77b2fa6329f94f5a05fe84cebb5c8b1a0,0.011360997728979926,Curve,5
2021-10,0x2a7d59e327759acd5d11a8fb652bf4072d28ac04,0.011360997728979926,Curve,5
2021-10,0xa445521569e93d8a87820e593bc9c51c0123da08,0.011360997728979926,Curve,5
2021-10,0x5f3b5dfeb7b28cdbd7faba78963ee202a494e2a2,0.011360997728979926,Curve,5
2021-10,0xe3997288987e6297ad550a69b31439504f513267,0.011360997728979926,Curve,5
2021-10,0x575ccd8e2d300e2377b43478339e364000318e2c,0.011360997728979926,Curve,5
2021-10,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,0.011360997728979926,Curve,5
2021-10,0x679fcb9b33fc4ae10ff4f96caef49c1ae3f8fa67,0.011360997728979926,Curve,5
2021-10,0xd2d43555134dc575bf7279f4ba18809645db0f1d,0.011360997728979926,Curve,5
2021-10,0x41df5d28c7e801c4df0ab33421e2ed6ce52d2567,0.011360997728979926,Curve,5
2021-11,0x28c6c06298d514db089934071355e5743bf21d60,0.4927215189873418,Compound,5
2021-11,0xf977814e90da44bfa03b6295a0616a897441acec,0.4607357795703494,Curve,5
2021-11,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.074359294132319,Curve,5
2021-11,0xe93381fb4c4f14bda253907b18fad305d799241a,0.045290837854128976,Curve,3
2021-11,0xb1cff81b9305166ff1efc49a129ad2afcd7bcf19,0.020358649789029536,Curve,3
2021-11,0x34a4c5d747f54d5e3a3f66eb6ef3f697f474fd90,0.019091710688230856,Yearn Finance,3
2021-11,0xba37b002abafdd8e89a1995da52740bbc013d992,0.019091710688230856,Yearn Finance,3
2021-11,0x3ff33d9162ad47660083d7dc4bc02fb231c81677,0.019091710688230856,Yearn Finance,3
2021-11,0x675938d86a6a4651b6dbba7529117fb0b557ccf2,0.019091710688230856,Yearn Finance,3
2021-11,0x5f65f7b609678448494de4c87521cdf6cef1e932,0.019091710688230856,Yearn Finance,3
2021-11,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,0.019091710688230856,Yearn Finance,3
2021-11,0xf7e1974393108d506ac8ce06da4cb002a516093f,0.019091710688230856,Yearn Finance,3
2021-11,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,0.019091710688230856,Yearn Finance,3
2021-11,0x5165d24277cd063f5ac44efd447b27025e888f37,0.019091710688230856,Yearn Finance,3
2021-11,0x0548f59fee79f8832c299e01dca5c76f034f558e,0.019091710688230856,Yearn Finance,3
2021-12,0xf977814e90da44bfa03b6295a0616a897441acec,0.7478414896773378,Curve,5
2021-12,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.03771182290136153,Curve,5
2021-12,0xe93381fb4c4f14bda253907b18fad305d799241a,0.036903712410618066,Curve,3
2021-12,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0.01057890096973259,Balancer,5
2021-12,0x0548f59fee79f8832c299e01dca5c76f034f558e,0.007272994416691155,Sushi,3
2021-12,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.007272994416691155,Sushi,3
2021-12,0xba37b002abafdd8e89a1995da52740bbc013d992,6.175284382492855e-05,Yearn Finance,3
2021-12,0x34a4c5d747f54d5e3a3f66eb6ef3f697f474fd90,6.175284382492855e-05,Yearn Finance,3
2021-12,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,6.175284382492855e-05,Yearn Finance,3
2021-12,0x675938d86a6a4651b6dbba7529117fb0b557ccf2,6.175284382492855e-05,Yearn Finance,3
2021-12,0xf7e1974393108d506ac8ce06da4cb002a516093f,6.175284382492855e-05,Yearn Finance,3
2021-12,0x5f65f7b609678448494de4c87521cdf6cef1e932,6.175284382492855e-05,Yearn Finance,3
2021-12,0x43adde52c6c142912662d3e427709db5cac9b811,6.175284382492855e-05,Yearn Finance,3
2021-12,0xfeb4acf3df3cdea7399794d0869ef76a6efaff52,6.175284382492855e-05,Yearn Finance,3
2021-12,0x5165d24277cd063f5ac44efd447b27025e888f37,6.175284382492855e-05,Yearn Finance,3
2022-01,0xf977814e90da44bfa03b6295a0616a897441acec,0.5277475930262814,Curve,4
2022-01,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0.23169398907103825,Balancer,5
2022-01,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.13752276867030963,Curve,5
2022-01,0xe93381fb4c4f14bda253907b18fad305d799241a,0.07741347905282331,Curve,3
2022-01,0x25f2226b597e8f9514b3f68f00f494cf4f286491,0.027663934426229508,Aave,5
2022-01,0x26a78d5b6d7a7aceedd1e6ee3229b372a624d8b7,0.027663934426229508,Aave,5
2022-01,0xf81ccdc1ee8de3fbfa48a0714fc773022e4c14d7,0.027663934426229508,Aave,5
2022-01,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.027663934426229508,Aave,5
2022-01,0xd75ea151a61d06868e31f8988d28dfe5e9df57b4,0.027663934426229508,Aave,5
2022-01,0xc697051d1c6296c24ae3bcef39aca743861d9a81,0.027663934426229508,Aave,5
2022-01,0x317625234562b1526ea2fac4030ea499c5291de4,0.027663934426229508,Aave,5
2022-01,0xffc97d72e13e01096502cb8eb52dee56f74dad7b,0.027663934426229508,Aave,5
2022-01,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.02131147540983606,Sushi,3
2022-01,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,6.088992974238876e-05,Yearn Finance,3
2022-01,0x088ee5007c98a9677165d78dd2109ae4a3d04d0c,6.088992974238876e-05,Yearn Finance,3
2022-02,0xf977814e90da44bfa03b6295a0616a897441acec,0.3208179093953817,Curve,4
2022-02,0xe93381fb4c4f14bda253907b18fad305d799241a,0.2822492508372995,Curve,3
2022-02,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0.25224748810153363,Balancer,5
2022-02,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.17257183148246075,Curve,5
2022-02,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,0.03454962101181033,Sushi,2
